id,address_sido,address_sigungu,address_dong,address_full,hammer_price,reference_date,property_type,land_area_sqm,building_area_sqm,unit_price_py,land_price_sqm,approval_date,days_since_transaction,building_age,price_per_sqm,is_new,property_type_code
233,충청남도,예산군,덕산면,충청남도 예산군 덕산면 신평리 553,4000000000.0,2023-06-12,숙박시설,288.0,785.89,45913682.27731864,418900.0,1979-12-31,1093,47,13888888.888888888,0,0
235,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍 신엄리 3075,633000000.0,2025-10-30,숙박시설,1063.33,260.32,1967932.7992919176,355100.0,2014-12-12,222,12,595299.671785805,0,0
238,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍 신엄리 3075,633000000.0,2025-10-30,숙박시설,1063.33,260.32,1967932.7992919176,355100.0,2014-12-12,222,12,595299.671785805,0,0
240,경상남도,김해시,신문동,경상남도 김해시  신문동 651-2외,823561400.0,2025-06-05,전 등,363.0,585.0,7500046.900257268,445100.0,1979-12-31,369,47,2268764.1873278236,0,0
241,경상남도,김해시,신문동,경상남도 김해시  신문동 976,55000000.0,2024-05-01,전,472.5,585.0,384800.3848003848,177200.0,1979-12-31,769,47,116402.1164021164,0,0
242,경상남도,김해시,신문동,경상남도 김해시  신문동 507-9외,966000000.0,2023-10-18,답,425.79,585.0,7499914.112008422,1985000.0,1979-12-31,965,47,2268724.0188825475,0,0
243,경상남도,김해시,신문동,경상남도 김해시  신문동 976,110000000.0,2024-03-26,답,945.0,585.0,384800.3848003848,177200.0,1979-12-31,805,47,116402.1164021164,0,0
249,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍 덕천리 828-1외,383000000.0,2026-02-27,임야 등,12763.0,585.0,99202.04516801213,14300.0,1979-12-31,102,47,30008.61866332367,0,0
250,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍 덕천리 116-2,60000000.0,2025-05-26,임야,1475.0,585.0,134472.6152122146,8760.0,1979-12-31,379,47,40677.96610169492,0,0
251,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍 덕천리 77-18,58000000.0,2025-08-08,임야,285.0,585.0,672756.2708423953,21200.0,1979-12-31,305,47,203508.77192982455,0,0
252,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍 덕천리 1343외,160000000.0,2024-07-05,임야,8504.66,585.0,62192.447415265364,17200.0,1979-12-31,704,47,18813.215343117772,0,0
253,제주특별자치도,제주시,구좌읍,제주특별자치도 제주시 구좌읍 덕천리 920,420000000.0,2024-11-11,임야,5170.0,585.0,268555.0777690746,12000.0,1979-12-31,575,47,81237.91102514506,0,0
255,경기도,광주시,태전동,경기도 광주시  태전동 523-1외,1880000000.0,2026-02-12,공장,394.8,394.8,15741833.923652105,685300.0,1992-12-29,117,34,4761904.761904762,0,0
257,경기도,광주시,목동,경기도 광주시  목동 74외,2040000000.0,2024-10-29,공장,936.0,474.08,7204916.295825387,608400.0,2022-11-02,588,4,2179487.1794871795,1,0
258,경기도,광주시,태전동,경기도 광주시  태전동 446-3,4472000000.0,2024-12-31,공장,1498.0,1474.2,9868805.790640965,665900.0,1994-09-09,525,32,2985313.751668892,0,0
259,경기도,광주시,태전동,경기도 광주시  태전동 467-48,40000000.0,2025-08-17,공장용지,262.04,585.0,504622.9772503345,608400.0,1979-12-31,296,47,152648.45061822623,0,0
